,WhiteNonHisp,Hisp,Black,Asian,NavAm,PacIs,Mixed,Other
AL,0.6796540339963439,0.03309595918255982,0.24400425636408282,0.011159313524869718,0.005702436495593572,0.00046383454748847235,0.0097678098824043,0.01615235600665739
AK,0.6657997399219766,0.044027493962474455,0.03399591305963218,0.0497863644807728,0.13338287200445847,0.010403120936280884,0.047371354263421886,0.015233141370982724
AZ,0.5686047394804801,0.22184034634665045,0.034881512987999394,0.024646817560382804,0.03596384627069725,0.0015570408628284977,0.02187452529241987,0.0906311711985417
AR,0.7521929824561403,0.048603651987110634,0.13833691371285356,0.01279985678481919,0.006936985320443967,0.001611170784103115,0.013157894736842105,0.026360544217687076
CA,0.37507869107427205,0.2823620900349327,0.05217681112907805,0.11771876118647624,0.007952427388196955,0.0031569007443249847,0.031726389591793906,0.12982792885092517
CO,0.679678868674965,0.16604060789079572,0.034101789791559256,0.02592619871842086,0.009673221870319904,0.0012030149026539983,0.02418305467579976,0.059193243475485505
CT,0.6917122833931871,0.11471008681705659,0.09159373801471357,0.03580767755657055,0.002614971583975454,0.00013946515114535756,0.01596875980614344,0.04745301767720791
DE,0.6586579471140176,0.06553881148706284,0.19590560136479954,0.03355132214955928,0.004833665055444982,0.0005686664771111743,0.013647995450668183,0.027295990901336366
DC,0.35903337169159955,0.08534714230916762,0.45857307249712315,0.0333716915995397,0.0030686612965093976,0.0007671653241273494,0.023014959723820484,0.03682393555811277
FL,0.5800006572245407,0.20441654891393646,0.13829976011304262,0.023009431172159967,0.0037001741645033026,0.0006375078045414216,0.01789622424501331,0.032039696362262164
GA,0.5624688228870344,0.0731398217680288,0.28188154719372277,0.03141304787456352,0.002993002844700902,0.0006740997397975004,0.014196540520135359,0.03323311717201677
HI,0.23528339712046656,0.06989247311827956,0.015400036449790414,0.396664844177146,0.002733734281027884,0.09130672498633133,0.17696373245853836,0.011755057408419901
ID,0.8159863945578232,0.08928571428571429,0.005612244897959183,0.011649659863945578,0.013945578231292517,0.001530612244897959,0.01879251700680272,0.04319727891156463
IL,0.6246340361149864,0.12817086829229954,0.12985086357652328,0.04418092861493722,0.003124201756626648,0.0003635077515571886,0.014265223115163185,0.05541037077790659
IN,0.8180745922642046,0.048765607841542276,0.0817911904665067,0.015150282669703502,0.0029080408345873838,0.00030503924838329197,0.011733843087810631,0.02127140358726156
IA,0.8931453362255966,0.03661605206073753,0.02490238611713666,0.017310195227765727,0.0026030368763557484,0.0005206073752711496,0.009327548806941432,0.015574837310195228
KS,0.7793062200956937,0.08276591829223408,0.055299963194700034,0.02304931910195068,0.009247331615752669,0.0006900993743099006,0.01716047110783953,0.03248067721751932
KY,0.8656811365908333,0.025446063433400987,0.07321801823634547,0.01169307200630093,0.0025446063433400986,0.0004241010572233498,0.010239011238678016,0.010753991093877799
LA,0.6151375343105764,0.04061788238042399,0.2965309817204929,0.015739064416282193,0.006511709396717865,0.0003796063773871401,0.011242188868772995,0.013841032529346493
ME,0.9491624464355278,0.009738994935722634,0.008959875340864823,0.010712894429294897,0.006719906505648617,0.000292169848071679,0.011297234125438255,0.0031164783794312427
MD,0.547350570409197,0.07069550279698718,0.27401664978196716,0.0542879795621724,0.003677928027132978,0.0005065409857728054,0.018653922389111573,0.0308109060476589
MA,0.7478574821852731,0.07908788598574822,0.06116864608076009,0.05041330166270784,0.002508313539192399,0.0003040380047505938,0.019781472684085512,0.038878859857482184
MI,0.7755641093708522,0.035638439076187946,0.13263870453942128,0.023042208654101407,0.005999469073533316,0.00033182904167772763,0.014666843642155562,0.012118396602070614
MN,0.841579979641997,0.03642096377765088,0.0461530822512972,0.035427890464013505,0.010079694133419399,0.0003972293254549517,0.013605104396832097,0.01633605600933489
MS,0.6002530615933842,0.024176420082245017,0.34303402774639613,0.008676397487459894,0.004925663156943378,0.0003163269917303086,0.006823625107325229,0.011794477834515794
MO,0.818593605699459,0.027903601741501385,0.10763446061832095,0.01697524077575971,0.004265798847794538,0.0010774440388759401,0.012665464620255949,0.010884383658032456
MT,0.8900564823328517,0.02416918429003021,0.004071982135820307,0.00577958754761592,0.051096808091422564,0.0006567713122290818,0.01838959674241429,0.00577958754761592
NE,0.8209947120194369,0.06917250250107189,0.038659425468057736,0.01807917679005288,0.00814634843504359,0.0007145919679862799,0.011147634700585966,0.03308560811776476
NV,0.527156125608138,0.1984077841662981,0.073109243697479,0.06775762936753649,0.010614772224679346,0.004511278195488722,0.029013710747456876,0.08942945599292348
NH,0.919208817161976,0.024601456406219246,0.010726234993111592,0.021846093288722692,0.0022633339893721707,0.000492029128124385,0.012202322377484746,0.008659712654989176
NJ,0.5723057855895443,0.1521041068108839,0.12148611345839672,0.07603796969184835,0.0028449101459072728,0.0003098416990592079,0.01991437102135091,0.054996901583009405
NM,0.3889171040009029,0.36521640990914733,0.018057671688956604,0.012358219062129677,0.07087636137915468,0.0009593138084758197,0.022967101179391682,0.12064781897184132
NY,0.5492999628298848,0.15027258084500061,0.13918349646883904,0.070084252261182,0.004336513443191674,0.000359311113864453,0.02272333044232437,0.06374055259571304
NC,0.6575514400544777,0.06485252293271734,0.19773543588853432,0.020722898001148304,0.011082477668139879,0.0005875048402387407,0.012804935040658005,0.0346627855740857
ND,0.9040989945862336,0.015274555297757154,0.008120649651972157,0.010440835266821345,0.046790409899458624,0.00019334880123743234,0.011214230471771076,0.0038669760247486465
OH,0.8224376065637552,0.024877272883314833,0.11231390678460676,0.01659247731407843,0.0020025403654922243,0.00034329263408438133,0.012038128368558972,0.009394775086109235
OK,0.6936865645965938,0.06815757784276621,0.06953380354378118,0.016067435059349735,0.07507311199036643,0.0006881128505074832,0.04142439360055049,0.03536900051608464
OR,0.7780607247796278,0.08455762324518445,0.01573620633365981,0.03682664054848188,0.011949069539666993,0.0033627162912177604,0.025889650669278483,0.043617368592882795
PA,0.7948978462714643,0.04569002806586929,0.09987023307748795,0.02595338450240924,0.0020320091742196383,0.00036214024887082656,0.01087426691748232,0.02032009174219638
PR,0.007221267798386862,0.7962030108027837,0.10042803482514631,0.001543254811752031,0.004979180619049005,8.735404594822816e-05,0.02710887225926681,0.06242902483766707
RI,0.7508409697250898,0.09558055909987241,0.050342187681243475,0.02760700614777868,0.0031318872520589257,0.0008119707690523141,0.021227235819510498,0.05045818350539381
SC,0.6487050379725707,0.04278521156146549,0.25952096141541714,0.0123793362450274,0.004172809970233955,0.0006120121289676468,0.01107185578768743,0.020752774918630205
SD,0.8655797704208951,0.022625187156879056,0.011478955248710697,0.008650806854100815,0.0715355182166029,0.00033272334054233906,0.011478955248710697,0.008318083513558476
TN,0.762153770732903,0.03621619413350764,0.15405670397908325,0.01419642127624806,0.0033703733965193233,0.0004493831195359098,0.01103031293406324,0.018526840428139554
TX,0.44527386720714707,0.30358699062293026,0.1052442868596527,0.03567071197008102,0.006229800457150825,0.0008764547405743766,0.018540005677036387,0.08457788246542734
UT,0.7740596238495399,0.10774309723889555,0.009253701480592237,0.02270908363345338,0.011504601840736295,0.007503001200480192,0.01640656262505002,0.0508203281312525
VT,0.945957011258956,0.01187308085977482,0.009416581371545548,0.012077789150460594,0.003480040941658137,0.00040941658137154553,0.013715455475946776,0.0030706243602865915
VA,0.6457872015038313,0.06791136316569225,0.18068277762732385,0.05492807417201663,0.003520621923438421,0.0006531470536695714,0.018017300431714272,0.028499514122313732
WA,0.7193489104751903,0.08781832501969021,0.03144807411019015,0.07140981885009189,0.014383227693807898,0.0051757116603532985,0.029122754378727075,0.04129317781194914
WV,0.9336105336105336,0.011365211365211365,0.03354123354123354,0.007068607068607069,0.0018711018711018712,0.0002772002772002772,0.008731808731808732,0.0035343035343035345
WI,0.8407694058729798,0.04646027771454587,0.05463236967903483,0.02037332119280674,0.008650125199180514,0.0003414523104939677,0.010926473935806966,0.017846574095151377
WY,0.8486111111111111,0.07592592592592592,0.005787037037037037,0.005324074074074074,0.022453703703703705,0.0006944444444444445,0.013425925925925926,0.027777777777777776
